neuron_id,soma_depth,dendrite_volume,axon_volume,dendrite_vertical_extent,axon_vertical_extent,spike_frequency,spike_frequency_adaptation
20031213A,0.714070877,0.007,0.029128127,0.49093,0.81505,83.50305499,23.70977836
20031214B,0.527025188,0.0105,0.052899356,0.535,1.07038,71.0919727,1.690310696
20040107A,0.7174498,0.0045,0.02544526,0.21746,0.8889,15.32600604,99.99946586
20040107B,0.663676216,0.00525,0.017409915,0.251221,0.699383,70.34597429,46.08639385
20040112A,0.695583723,0.007,0.011718212,0.32815,0.30398,75.34375589,45.6064509
20040113A,0.755585024,0.00925,0.013727048,0.358557,0.344654,84.09566395,16.87494088
20040113B,0.730420502,0.009,0.01439666,0.39763,0.4003,86.31141982,27.51943923
20040113C,0.849218187,0.00775,0.014061854,0.2834248,0.710727,74.87365071,23.67847107
20040115A,0.707448397,0.004,0.011718212,0.20402,0.38709,65.77595067,47.95454857
20040116A,0.716447085,0.003,0.009039763,0.22336,0.25059,78.97252587,26.37111154
20040119A,0.631857584,0.00375,0.021427587,0.3466,0.55465,97.30043061,10.64077758
20040202A,0.632873458,0.00875,0.033815411,0.50061,0.77612,78.04637598,20.56539356
20040202C,0.723151886,0.01375,0.02711929,0.464,0.68102,79.63083959,12.09934238
20040203B,0.713568424,0.0165,0.046203235,0.62547,1.12128,92.3266311,16.29869366
20040203C,0.691798666,0.01575,0.048881684,0.73722,1.53642,88.42278429,13.35607469
20040205B,0.551497684,0.00475,0.009039763,0.2749795,0.2946092,60.07125694,46.20655959
20040205C,0.696144946,0.00625,0.016740303,0.2249898,0.3210898,81.04232903,17.13722244
20040208A,0.630063068,0.00725,0.017075109,0.29816,0.49325,77.27168306,22.95789963
20040209A,0.673834901,0.01025,0.044194399,0.4499,1.01135,85.70379137,21.0276839
20040210B,0.802581858,0.009,0.015401078,0.47036,0.31888,83.82743815,21.55035824
20040504A,0.784857391,0.0065,0.01272263,0.28524,0.45608,68.64560148,30.41327555
20040506A,0.672486911,0.007,0.020423169,0.39802,0.66845,109.6355136,20.39709288
20040506B,0.708209869,0.0065,0.011383406,0.25218,0.3825,79.59948889,35.526445
20040507A,0.638764074,0.0075,0.013727048,0.33324,0.32043,65.71651538,41.62869262
20040508A,0.732654022,0.00725,0.019083945,0.278797,0.858651,56.19029781,55.23562938
20040510A,0.660936074,0.008,0.040511532,0.46983,1.03702,60.59592963,45.67858172
20040511A,0.629696945,0.00675,0.037498278,0.32547,1.22386,76.5016024,27.90441855
20040512A,0.781481125,0.01,0.019083945,0.44802,0.48366,75.71933367,36.62822669
20040601A,0.628201368,0.01,0.022766812,0.32604,0.37632,74.88299532,24.23921969
