neuron_id,AP Vm SPC1,AP Vm SPC2,AP Vm SPC3,AP Vm derivative SPC1,AP Vm derivative SPC2,AP Vm derivative SPC3,AP Vm derivative SPC4,AP fast trough SPC1,AP fast trough SPC2,AP fast trough SPC3,AP peak SPC1,AP peak SPC2,AP peak SPC3,AP peak SPC4,AP threshold SPC1,AP threshold SPC2,AP threshold SPC3,AP width SPC1,AP width SPC2,AP width SPC3,ISI shape SPC1,ISI shape SPC2,Inst firing rate SPC1,Inst firing rate SPC2,Inst firing rate SPC3,Inst firing rate SPC4,PSTH SPC1,PSTH SPC2,Up down SPC1,Up down SPC2,Up down SPC3
20071002B,1.1731320962996574,-0.6835818603006085,-0.028742835617788294,1.358200588956616,0.9247208646797417,0.00231199966194922,-0.16352022220668588,0.2691453150892436,-0.3385339789920902,-0.27683823068808155,1.1958019677543221,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,-0.16087171284872048,-0.32510148114967663,0.2871354572111116,-0.8324615327028616,-0.23910823302681483,0.2205461227264635,1.406620034292955,0.021380420721306116,0.7028829039924744,0.5689312813709478,-1.0492987604089419,0.030026573696057195,0.7998918557447467,0.31634726316231176,-0.9937325318096023,-0.21828510275169594,0.27988484853975404
20080516A,1.0902759014256662,-0.9512930170288181,0.2746295999630225,1.6221668968538314,1.0307502749482111,-0.0009366637830815886,0.8904303704374466,0.4275895125400234,-0.3385339789920902,-0.27683823068808155,1.4934473854102064,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,-0.1364303500759094,-0.32510148114967663,0.2871354572111116,-1.392115203564755,0.522060986332011,-0.9510692975369482,1.691179426588046,0.021380420721306116,1.1014037624529218,0.5465458579040475,-0.1622663225718585,0.030026573696057195,1.0716344288766113,0.31634726316231176,-1.1524412648612687,-0.21828510275169594,0.27988484853975404
20080703C,3.1955619370863797,-0.551833188931627,-0.028742835617788294,2.4579671566904864,0.10245593130583228,-0.020672362744360875,0.3355658823970517,1.6705178758396344,-0.3385339789920902,-0.27683823068808155,1.5388319780373287,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,1.499049345944745,-0.32510148114967663,0.2871354572111116,-1.8786345498674126,-0.23910823302681483,0.9211231259127097,1.6478210659751469,0.021380420721306116,1.2900952926668323,-0.3214591647206182,0.01860823157258154,0.030026573696057195,0.9984143695072695,0.31634726316231176,-1.0690081715002653,-0.21828510275169594,1.6940306555753262
20080708A,2.3792065511779277,-0.9104067126630473,0.6109299239647714,2.4039201859061325,0.2388376636407316,-0.020672362744360875,0.9271220473902694,1.7654969353288088,-0.3385339789920902,-0.27683823068808155,1.0057875212220337,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,1.2154361920100778,-0.32510148114967663,0.2871354572111116,-3.3400246707403403,0.03279540686171523,-10.0632451691782,2.559497020091203,0.021380420721306116,0.5841467070722901,0.02154461512867633,-0.45936300098135624,0.030026573696057195,0.6167179302282607,0.31634726316231176,-1.9108491876146891,-0.21828510275169594,-4.853319126949361
20080717B,3.0373798016599354,-0.6175283128046902,-0.028742835617788294,2.4599573532175465,0.14811494531407707,-0.020672362744360875,0.5060540676839714,2.1003186981287354,-0.3385339789920902,-0.27683823068808155,1.1584998487522138,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,1.880843504807144,-0.32510148114967663,0.2871354572111116,-3.202023209328277,-0.23910823302681483,2.962298543977068,2.044954683417356,0.021380420721306116,0.2600943682115251,0.6930911746194486,-1.4414855760702183,0.030026573696057195,0.4549422736571898,0.31634726316231176,-1.4333934747039758,-0.21828510275169594,0.27988484853975404
20080721A,3.4597587081693035,-0.3742678840574574,0.0511346782019733,2.640282374142352,-0.09981932834751972,-0.020672362744360875,-0.012447802911276711,2.490203360397758,-0.3385339789920902,-0.27683823068808155,1.28529976889257,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,2.228564725651499,-0.32510148114967663,0.2871354572111116,-5.313623368480269,-4.105039805352878,2.6195511629447457,2.4657984980155896,0.021380420721306116,1.1969141855978955,-0.2637411873454903,0.7171911806084057,0.030026573696057195,0.981396495931319,0.31634726316231176,-1.5135405225673977,-0.7701662843262809,0.27988484853975404
20080729A,1.593720127128081,-0.9149075190416436,0.3066515523959002,1.9212249977532476,0.8291305521829767,-0.020672362744360875,1.139509458135446,0.7225340010134645,-0.3385339789920902,0.6434553667618201,0.8400579028235429,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,0.2611281947111069,-0.32510148114967663,-0.6364845927050393,-1.3021197993125533,0.149636788355865,-4.160739080214969,1.640938205810135,0.021380420721306116,1.5418557034055675,-0.2637411873454903,-0.1622663225718585,0.030026573696057195,1.2722303549751302,0.31634726316231176,-1.0698188500071752,-0.21828510275169594,-2.925009677593062
20080729C,2.516309727253569,-0.6266079918584769,0.1674731295916428,2.2451890854697467,0.3556332340795728,-0.020672362744360875,0.6208189197552831,1.0461357065341588,-0.3385339789920902,-0.27683823068808155,1.8224901037692387,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,0.4967528950725074,-0.32510148114967663,0.2871354572111116,-1.3061514251000048,-0.23910823302681483,-1.8540629037765404,2.114584609166519,0.021380420721306116,1.0623249306709943,-0.6753601567260525,-0.08088081394765312,0.030026573696057195,0.799149915688686,0.31634726316231176,-1.0812005511300236,-0.21828510275169594,0.27988484853975404
20080902C,1.9041530214595592,-1.0370586665042976,0.2108688591439845,2.102896589258641,0.645992826550771,-0.020672362744360875,1.2996539346023317,1.0159517544993726,1.584300063805605,0.5901461416873174,1.7984939552836983,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,0.44655642357476605,2.836260634634754,-0.4967146777211004,-0.44687776907617194,5.073801560266473,-1.4334798116729406,2.559497020091203,0.021380420721306116,1.365154815752518,-0.09773619168847354,0.9219420986014233,-0.5247134808906758,1.2292975260066668,0.21563678188864221,-0.8469024461922154,5.33726502292841,0.27988484853975404
20080904A,2.1367981534612266,-0.8308555548535768,0.1603032647644556,2.1414416292163017,0.5551705541097229,-0.020672362744360875,1.0711441714896237,1.1770354163110932,-0.3385339789920902,-0.27683823068808155,1.1472397257317035,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,0.5963262858089414,-0.32510148114967663,0.2871354572111116,-1.8929732419914795,-0.23910823302681483,-2.531117290346698,2.2520457860777023,0.021380420721306116,0.8231974861425407,0.0973125288497536,-0.1622663225718585,0.030026573696057195,0.7650398187374482,0.31634726316231176,-1.6553313451859595,-0.21828510275169594,-0.5615518591380801
20010518A,0.0077044363132940516,1.5020226720000367,0.7104029965237834,-0.7518363580296826,-1.1859472382298466,0.7845695244353025,-0.16352022220668588,-0.6115416760000936,-0.6120980713969203,-0.27683823068808155,-0.9742849693803308,-0.5992394272547615,-0.2785917817343905,3.522703221040224,0.060319574398542616,-0.5662939571953396,0.2871354572111116,0.8084292138541694,-0.23910823302681483,0.2205461227264635,-2.1118036732139895,1.1360322841217398,0.9225431551514208,-1.5390145665853296,-0.1622663225718585,0.030026573696057195,0.6166319445096081,0.8253331779423444,0.4150525792060125,-0.21828510275169594,0.27988484853975404
20010529B,0.7205650367323668,1.495194553014352,0.1470331789322503,-0.49340605722151826,-1.520429951424433,0.7543091909820911,0.20713356750308423,-0.45104804305384066,2.3822328120773952,2.984362530930176,0.601942749829131,0.7441949094406234,-0.2785917817343905,-0.28632991607643393,-0.23584033696613962,1.8294071715544307,-3.1231936291209483,0.9459122589654064,-0.0595823356523306,0.2205461227264635,-1.1355393827487925,-2.949407930834999,1.054258492237535,0.7363339960621416,-0.1622663225718585,-0.3864949090447681,1.0082841156763567,-0.9918686025383776,0.7772695361010209,0.7156081904411682,0.27988484853975404
20010530B,-0.6872398746814966,0.41213691127205343,-1.3429123231577151,-1.2351685224917637,-0.9138268057223885,-0.7050196881619641,-0.6557684333296457,-0.19530163376357088,2.1163839989823208,2.6582311881108613,0.14505338643311227,1.5515108153136896,0.1018476912998992,-1.6843674133456654,-0.2599414611107369,2.0310442025228816,-2.762123498003708,0.547514244703218,0.6536329892749282,-0.372905224580021,0.3060655793807601,-0.6498752454422707,0.8033764022840998,1.7643067571637618,-1.0687777427129184,1.006412940786812,1.387881455978952,0.31634726316231176,0.2975723546091702,1.6028386268999535,0.27988484853975404
20010626D,1.085867819550206,0.6701950540406411,-0.028742835617788294,0.22318278723021306,-0.6027855363176902,0.23862166355758097,-0.3588340266811373,1.5594770413404984,-0.3385339789920902,-0.27683823068808155,-0.9885102425278866,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,1.9931962659632005,-0.32510148114967663,0.2871354572111116,0.6316584659882546,-0.23910823302681483,0.2205461227264635,-0.2034160055348982,2.7583554788583435,-0.048198601121720835,-0.7195129133149284,-0.1622663225718585,0.030026573696057195,-0.13223504181233203,0.31634726316231176,0.2901539106754591,-0.21828510275169594,0.27988484853975404
20010710B,0.26471507919552845,0.1370879126389009,-1.3333235928861649,-0.5574961250838916,-0.7155217368014538,-0.677667718484825,-0.8963829005920579,0.23615626174734808,-0.3385339789920902,-0.27683823068808155,-0.9192826202195395,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,0.32634832366216204,-0.32510148114967663,0.2871354572111116,0.11509422597819342,-0.23910823302681483,0.2205461227264635,-0.1897944850970249,0.7002661987437551,0.8892056083746586,-0.006124049226238787,-0.4430261889890753,0.030026573696057195,0.7780315510255532,0.31634726316231176,-2.2934385360513723,-0.21828510275169594,-1.8194721188725833
20010910A,-0.0752581522151624,1.200888087955714,-0.10325368291079702,-1.0109912312743,-1.022205829445394,0.48529138219291085,-0.5286022885476536,-0.3875469063781854,-0.3385339789920902,-0.27683823068808155,-0.9005970607603566,-0.2807281798438501,-0.2785917817343905,-0.06423088045141863,-0.05211312677862957,-0.32510148114967663,0.2871354572111116,0.611452880456756,-0.23910823302681483,0.2205461227264635,-0.821636816571229,0.021380420721306116,-1.1460893857576526,-1.3838145842414988,-0.1622663225718585,0.030026573696057195,-1.2505103791977414,0.31634726316231176,0.27459441021224673,-0.21828510275169594,0.27988484853975404
20010912A,-1.5727152704989726,-0.05425581093614672,-1.645154460506317,-1.5051804406677485,0.004732062504053822,-0.8329509425909901,-2.1670837621648498,-1.136197579825059,-0.3385339789920902,2.2837703750070877,-1.1668568189780313,-0.2807281798438501,2.2872728162340206,-0.06423088045141863,-1.2223475670248156,-0.32510148114967663,-2.1400590438118146,0.3265399682026718,-0.23910823302681483,-0.5586425368721921,0.6114256871712805,-0.1260018387566267,0.5220310302327635,1.0841553123017817,-3.648046579551126,0.030026573696057195,0.6856924725989654,-0.10461737875760499,-0.33765273241060045,-0.21828510275169594,-1.1915651656006714
