depth,marker,fraction,sem
0.025,PV,18.2565789473684,12.9934210526316
0.075,PV,34.4150260910816,5.38276802656546
0.125,PV,33.4260849561624,6.81177431043816
0.175,PV,24.2352961330816,4.62603419386312
0.225,PV,20.0808416624932,1.241849329525
0.275,PV,26.3994924545383,2.85636891141478
0.325,PV,44.2392772125284,10.6320463168834
0.375,PV,55.8306025584726,12.7381963370636
0.425,PV,62.1921814752957,10.3614247625211
0.475,PV,59.4654477192274,8.07580194266063
0.525,PV,57.019801577781,9.65385614033979
0.575,PV,55.3091664492318,11.3640387292696
0.625,PV,55.9497055125983,7.72321673941245
0.675,PV,54.9115510777882,6.16799437675727
0.725,PV,44.5068504498844,6.74128268431662
0.775,PV,47.3434314232353,8.87352569444633
0.825,PV,49.381629990391,11.6836363261882
0.875,PV,44.2420086986137,12.1992358372567
0.925,PV,48.2504945031222,11.194042890219
0.975,PV,48.3796856232726,7.72503666691583
1.025,PV,54.4053981452813,6.86496687843493
1.075,PV,53.6996285094771,7.79354783518444
1.125,PV,52.2887769413623,7.66113198395644
1.175,PV,59.5567880000468,14.0453625375876
1.225,PV,59.8797141566836,13.2952071144301
1.275,PV,61.7923631559978,11.4161773529229
1.325,PV,70.3407831439736,12.1007333927298
1.375,PV,74.8256771761303,9.80003615048934
1.425,PV,69.9462085121658,5.37074869861073
1.475,PV,63.7305628182194,4.67730838034953
1.525,PV,59.3423296530676,5.38652067231204
1.575,PV,55.9303751803752,1.1251803751804
1.625,PV,40.8460896981882,0.557072357147753
1.675,PV,35.4055215760867,0.999226869362762
1.725,PV,38.9643949634507,0.423495921446239
1.775,PV,47.0540778609239,9.34364015048611
1.825,PV,29.0527790063394,14.2908742444346
1.875,PV,0,0
0.025,Sst,1.81818181818182,1.81818181818182
0.075,Sst,9.87903225806452,9.87903225806452
0.125,Sst,10.5813360530342,10.5813360530342
0.175,Sst,14.996003197442,6.10711430855316
0.225,Sst,15.5825159180864,2.76200309757357
0.275,Sst,26.0278631873963,1.24486408533101
0.325,Sst,17.6900472192764,0.342739665969535
0.375,Sst,22.4602923209195,2.02950359744785
0.425,Sst,30.2496403952116,13.6527986291787
0.475,Sst,26.2082082885849,4.02434985095002
0.525,Sst,31.6641268266175,2.81863179407213
0.575,Sst,19.7170189608753,7.55570831185197
0.625,Sst,5.3915857605178,2.6084142394822
0.675,Sst,7.0021645021645,2.9978354978355
0.725,Sst,2.88974510966212,2.88974510966212
0.775,Sst,7.63048419608011,1.9161984817944
0.825,Sst,10.8286277200204,1.0761341847415
0.875,Sst,6.19751291989664,3.8719315245478
0.925,Sst,11.2296578285358,8.05505465393262
0.975,Sst,15.7016732207572,8.42894594802992
1.025,Sst,18.183667431023,0.00184924920482388
1.075,Sst,15.6938312255232,4.09962832697248
1.125,Sst,22.6908086426761,0.497597154425399
1.175,Sst,21.505016722408,3.11036789297659
1.225,Sst,21.0103283686924,3.4664687195696
1.275,Sst,18.3802651254221,5.17271795561082
1.325,Sst,25.9326363312344,4.88000475228703
1.375,Sst,25.2861353733315,7.37568761213746
1.425,Sst,28.6603277674706,4.41790352504638
1.475,Sst,20.7563788755378,5.47860109775998
1.525,Sst,35.8187862339206,5.6817999325507
1.575,Sst,33.107895210659,1.85789521065898
1.625,Sst,31.9979188345474,0.260145681581678
1.675,Sst,44.9587028508354,3.87850645149014
1.725,Sst,18.1308290988615,9.55940052743294
1.775,Sst,15.933423142371,3.57877197958024
1.825,Sst,35.279057859703,12.3399897593446
1.875,Sst,0,0
0.025,Vip,25,25
0.075,Vip,29.4927625797691,11.2061068960788
0.125,Vip,14.3771647874469,7.73569610494153
0.175,Vip,14.1306887435554,2.27325214314413
0.225,Vip,15.472249974215,3.48261938445481
0.275,Vip,21.6370186134561,3.58213175741375
0.325,Vip,32.6568977152222,1.53282560493588
0.375,Vip,34.4143164185364,3.01989410777941
0.425,Vip,28.9032648189942,3.9883953524789
0.475,Vip,31.8430474728876,5.54316839187185
0.525,Vip,40.2088339752523,1.72859081415806
0.575,Vip,43.1178531012556,1.50552352212103
0.625,Vip,43.7594862065429,1.66764947184904
0.675,Vip,46.7937732143024,4.49040242778549
0.725,Vip,41.4618439520676,1.11849631258265
0.775,Vip,47.0500406727047,8.50077059971201
0.825,Vip,38.3296669927191,0.461756009230207
0.875,Vip,28.5448425951799,3.79133974100243
0.925,Vip,34.5155858854489,8.50825987812289
0.975,Vip,31.7426055401749,0.269458225443394
1.025,Vip,34.0815791033409,0.428102345753459
1.075,Vip,29.0025449957083,0.75376111801549
1.125,Vip,27.9455813636045,4.09538425453746
1.175,Vip,28.2596756477353,7.45461006655036
1.225,Vip,32.5228110419016,1.7803012720362
1.275,Vip,38.256766851488,1.9024227288304
1.325,Vip,35.5240464150368,4.48956365641608
1.375,Vip,33.1298754639716,7.0647125567034
1.425,Vip,41.7893340567618,6.2952629105167
1.475,Vip,39.3858963764305,3.73883755290111
1.525,Vip,36.3602963809124,0.853354857984311
1.575,Vip,36.2504760964324,0.206520052476403
1.625,Vip,36.090547946436,2.10870618249312
1.675,Vip,24.2197658151727,5.69144395175293
1.725,Vip,21.9013591273267,7.92201043789066
1.775,Vip,20.3758003154867,11.9318919922056
1.825,Vip,10.5421686746988,10.5421686746988
1.875,Vip,0,0
0.025,-/-/-,54.9252392344498,28.2335753275234
0.075,-/-/-,26.2131790710848,15.879115269751
0.125,-/-/-,41.6154142033565,14.7717952920961
0.175,-/-/-,46.6380119259209,7.99154007978655
0.225,-/-/-,48.8643924452054,4.61513690427793
0.275,-/-/-,25.9356257446093,4.74765182764237
0.325,-/-/-,5.41377785297303,10.7474384714744
0.375,-/-/-,0,13.2476522899657
0.425,-/-/-,0,17.5973103344222
0.475,-/-/-,0,10.5896498790361
0.525,-/-/-,0,10.2043936503705
0.575,-/-/-,0,13.7294102353229
0.625,-/-/-,0,8.32063437543271
0.675,-/-/-,0,8.19724870107366
0.725,-/-/-,11.1415604883859,7.41933642787171
0.775,-/-/-,0,12.4368153343434
0.825,-/-/-,1.46007529686956,11.7421736147212
0.875,-/-/-,21.0156357863098,13.3486877922701
0.925,-/-/-,6.00426178289314,16.2043508928799
0.975,-/-/-,4.17603561579536,11.4366047861795
1.025,-/-/-,0,6.87830249990293
1.075,-/-/-,1.60399526929142,8.83824055463842
1.125,-/-/-,0,8.70130555698431
1.175,-/-/-,0,16.2024013185158
1.225,-/-/-,0,13.8545447495961
1.275,-/-/-,0,12.6769605442653
1.325,-/-/-,0,13.7984918324171
1.375,-/-/-,0,14.1545625086605
1.425,-/-/-,0,9.38046631318366
1.475,-/-/-,0,8.11610682040647
1.525,-/-/-,0,7.87563774817148
1.575,-/-/-,0,2.18184692922202
1.625,-/-/-,0,2.19650794463131
1.675,-/-/-,0,6.95943969631551
1.725,-/-/-,21.0034168103611,12.4225495216326
1.775,-/-/-,16.6366986812185,15.5718099993952
1.825,-/-/-,25.1259944592589,21.6250261108923
1.875,-/-/-,0,0
