neuron_id,Soma depth,Axon height,Dendrite height,Axon width,Dendrite width,Axon total length,Dendrite total length,Axon z-bias,Dendrite z-bias,Axon x-bias,Dendrite x-bias,Axon max. branch order,Dendrite max. branch order,Axon number of branches,Dendrite number of branches,Axon max. Euclid. dist.,Dendrite max. Euclid. dist.,Axon max. path dist.,Dendrite max. path dist.,Axon mean contraction,Dendrite mean contraction,Axon above dendrite,Axon overlapping dendrite,Axon below dendrite,Dendrite above axon,Dendrite overlapping axon,Dendrite below axon,Earth mover's distance,Soma axon z-percentile,Soma dendrite z-percentile,Soma axon x-percentile,Soma dendrite x-percentile,Axon histogram PC1,Axon histogram PC2,Axon histogram PC3,Axon histogram PC4,Axon histogram PC5,Axon histogram PC6,Dendrite histogram PC1,Dendrite histogram PC2,Dendrite histogram PC3,Dendrite histogram PC4,Dendrite histogram PC5,Axon home column,Dendrite home column,Axon adjacent columns,Dendrite adjacent columns
20071002B,0.0611212971937357,0.12606396500000006,0.09642700199999998,0.9604449770000001,0.194693477,29.330484579304187,2.2504567605947674,-0.06045739061252842,-0.05024645361252844,0.148030975,0.211782537,14.0,4.0,269.0,31.0,0.7771653752899407,0.13524462474003335,1.0497381653793874,0.17620147075003742,51.835017724066525,77.03932585144842,0.0,100.0,0.0,0.0,100.0,0.0,0.08354265573411486,71.24461758361727,76.71848526335981,45.185825293985076,49.44558919741867,-0.02100928841443039,0.041105371028430815,0.018247549406247367,0.2310677508621626,0.14267638459521764,0.10444589235886449,-0.004837289736327388,-0.015127429197784705,-0.020079205069214148,-0.0027092508899005828,0.004993411582585265,70.50064458108133,7.125996455816753,22.373358963101907,0.0
20080516A,0.15572055957919656,0.648551293,0.269408997,1.607140991,0.30289109399999997,28.7728804093506,2.494483937614323,-0.3537881858416069,-0.026433853841606902,0.000561034999999932,0.21448689599999998,20.0,4.0,299.0,19.0,0.9147716502221077,0.2352068067708023,2.910623942714734,0.3510416618312962,38.899033161013314,63.33977998063045,0.0,96.66176980771627,3.338230192283728,0.0,100.0,0.0,0.6468072028011481,72.84880255259195,77.69425549408182,26.832328299150465,24.81983643811036,-0.012562926127683423,0.05803841669591713,0.017707664771854228,0.16368108389562544,0.10075886860052927,0.10181151352894804,-0.005412522862888793,-0.02018532856852962,-0.029579898239367287,-0.0005454583849174584,0.024198369252196063,51.42125094469985,7.828225139060954,40.600833456358856,0.14969045988033908
20080703C,0.07288413413126511,0.18205603000000004,0.08130395499999998,0.928795029,0.295329201,30.100796166181862,2.4173589212078532,-0.051269729737469794,-0.003097732737469827,0.418625015,0.17980879899999996,17.0,7.0,401.0,37.0,0.6749485458302954,0.201148442227866,1.1140625878904553,0.26957396272285433,50.46145917309383,76.29392970132776,0.0,98.64854942994589,1.351450570054112,0.0,100.0,0.0,0.2981914108589028,51.979669330635744,60.28745908205464,43.495054679603506,48.61903166055157,-0.02141950141324146,0.05200592215142127,0.02350492570888774,0.26665161232258683,0.17942253928827956,0.14465017198313812,-0.005318972730048687,-0.01748140424921168,-0.023960019840996293,-0.0027500014993348744,0.009725059107107125,73.36588238648149,7.433874753076893,19.200242860441616,0.0
20080708A,0.08548492880760318,0.6639935739999999,0.09410803299999992,1.144405975,0.5105109860000001,14.182578230153483,2.8169530382245496,-0.5512417683847936,0.04260385661520649,0.19692398100000003,0.05813299600000005,12.0,5.0,115.0,27.0,0.7188359156461086,0.33990708772371564,1.4035552592434362,0.4779717798449134,53.676788094088465,71.16702294163397,0.0,84.28555307978668,15.714446920213334,0.0,100.0,0.0,2.445838049314642,24.081790541814733,87.78725539290176,29.06657347703244,45.15362796658099,-0.007092355735339886,0.028182247521224134,0.009877470026825796,0.09758936640817618,0.06471817176485103,0.05908088745622146,-0.0061384797468088306,-0.019925941945113983,-0.027098503447300186,-0.0032289142758466886,0.01000073832538856,54.01003239860129,15.600124344353924,29.419198715173295,0.970644541871503
20080717B,0.09376320268595441,0.682594086,0.17917199699999997,1.2184079589999999,0.178041505,43.42245171573593,3.1307066386536944,-0.5054637106280911,-0.050021601628091106,0.08163598699999997,0.164198485,25.0,6.0,331.0,47.0,0.6730225291663087,0.1495793570268133,1.6918859021977006,0.2212796444417171,34.81100258377797,72.58222730107319,0.014866581029208402,92.13328125621486,7.851852162755931,0.0,100.0,0.0,1.5148891703878486,38.944690548834174,42.93457839885532,48.03972966912022,44.838272663986075,-0.01890225601142065,0.08740162346219323,0.025501642433651918,0.2565655760392909,0.16629895646156073,0.15372213303895288,-0.006852628048664514,-0.02434085869687327,-0.034821292200680795,-0.0019035974508025788,0.023410937041687015,68.102558537299,6.725014476613898,25.172426986087107,0.0
20080721A,0.05975160870475429,0.204561981,0.13415802,0.876959991,0.322839384,10.042721557350635,2.1956212453160893,-0.07977681559049132,-0.006366750590491299,0.271165985,0.304848604,7.0,7.0,67.0,31.0,0.529355808120839,0.18812132858322014,0.8793590256270972,0.26256738236924637,47.542080767759074,78.6567894694609,0.0,99.49635449138057,0.5036455086194307,0.0,100.00000000000001,0.0,0.5917628645681238,45.9573616715235,67.19034518658755,46.65007582571988,48.681278130073984,-0.007339540620474972,0.015994842922806125,0.007279611483160408,0.0878391614225157,0.05789251731969538,0.04475764858694249,-0.004631792034716346,-0.01441721749908528,-0.019077696831010647,-0.0025487864403331145,0.004599963685095696,49.96237179320044,17.94051107015621,32.09711713664334,0.0
20080729A,0.06233942894674715,0.338629028,0.23728295900000002,1.6781300049999999,0.33153990599999994,28.93687148900597,2.441948631252104,-0.2562861421065055,-0.18065015510650556,0.021391967000000123,0.280022106,17.0,5.0,213.0,27.0,0.9858958056718227,0.25444674577335935,2.0017014925432095,0.3419168798530675,38.33760932307641,72.2893290542644,0.0,99.31894906427308,0.6810509357269223,0.0,100.0,0.0,0.5676552482229268,19.62813928373819,31.09362412300583,37.673745728045624,26.125108353055392,-0.01564791457553976,0.0624024962924351,0.02026886146367105,0.186887773707304,0.11840500148374751,0.12244338472194043,-0.005370641008941429,-0.019424115972666973,-0.02808166309964715,-0.00115667621625662,0.020619562252676846,58.02868706135856,7.782155676642504,34.189157261998936,0.0
20080729C,0.09701961192343606,0.181458008,0.08715301500000006,1.266791993,0.273884003,35.14772265491014,1.7910807628110756,-0.04943676215312787,-0.02101177515312791,0.431776001,0.024936004999999983,23.0,5.0,307.0,37.0,0.8931007503789339,0.16476987339038027,1.9271867262387794,0.2935620908707888,53.04576364702655,74.11574355132596,6.63510062260731,91.4561385172471,1.9087608601455923,0.0,100.0,0.0,0.22248726498365856,65.42887920304113,61.45324779441128,31.994254813338184,39.5775904913228,-0.024876708670957565,0.06796336063931319,0.030950083580079227,0.332495182399608,0.2332633638168568,0.19612392866251435,-0.0039679082343095735,-0.013733980070498435,-0.019395302482293084,-0.0015823387087931732,0.011198149263951651,56.85772253432322,4.8487785122779945,38.29349895339878,0.0
20080902C,0.1195409681472969,0.47439497399999997,0.15209198000000002,0.8640510259999999,0.23950949900000001,16.35589317991686,2.3543507996462356,-0.27560909170540615,0.0393419722945938,0.26712902799999994,0.123550499,11.0,4.0,111.0,31.0,0.5371291934836813,0.1644834186532053,1.085245625146316,0.24040256536203627,44.18344546528427,66.0521272480731,0.0,90.8202131279133,9.179786872086702,0.0,100.0,0.0,1.3645949452858066,71.94597231895764,90.18905653963634,48.91360546370394,49.50364478006365,-0.00876223647009749,0.034333345273418824,0.011263607377097142,0.11911214108046249,0.08249737608436027,0.07304428125021843,-0.005158515182779125,-0.017593078252637815,-0.02462672656945767,-0.0020648091863610363,0.01332606315935446,74.20551870972838,12.583218060747127,13.211263229524487,0.0
20080904A,0.10203915136141006,0.3496459649999999,0.18982897999999998,0.8973380129999999,0.320169006,19.674267655050084,3.271472173364286,-0.18644770227717977,-0.04024070127717977,0.09632800300000005,0.107237,17.0,5.0,241.0,33.0,0.5963377728310189,0.25533372251580855,1.0877156735828233,0.37750500953380345,42.72999500251553,67.53240381284674,0.0,98.48700919291463,1.5129908070853544,0.0,99.99999999999999,0.0,0.5617961073641392,80.4692558324647,74.07259787273037,31.683532226800224,38.860160007673926,-0.0134165739619495,0.035391369523346636,0.015059679444505428,0.16685045134237728,0.11180058085638607,0.09276336797718997,-0.007024238145753484,-0.0236769617529728,-0.03288597174298183,-0.0027120020163040794,0.016868069603027717,72.26103286549404,14.103275154914995,13.481539839382839,0.15415214020811985
