neuron_id,dendrite_vertical_extent,axon_vertical_extent,spike_frequency
1009830462,0.3178858081,0.8037692881,
569871062,0.09329096504,0.1021213566,
868240930,0.128886187,0.2010901563,43.8810336421258
759960718,0.1331973754,1.017516526,
770559860,0.331038032,0.6628041488,15.526610885879405
650077366,0.4640483465,0.8971665462,50.0034724633655
1002962250,0.2850121289,0.6265170674,
760944994,0.3053564154,0.3551512381,
966905488,0.1849329823,1.150721404,
1079568285,0.6846046335,1.6840736509999998,
886547084,0.5861029224000001,0.7821523469999999,
685780246,0.5170824787,1.1955791759999999,63.76851343938562
941707648,0.3514411649,0.9575710350000001,
689319155,0.3675457694,0.509833185,51.34524543027316
1025606094,0.42587155130000004,0.5856522968000001,
839239569,0.07507463232,0.5371425899,
907584932,0.8888933483,1.440073631,44.09911801763964
758286002,0.16147135040000002,0.5231553824,63.193371717455406
685766680,0.3859999444,0.6021667822,52.33318796336678
1060169142,0.23790525740000001,0.8846909005,
685806972,0.7536154048,0.6753390134,41.53913423699169
941862585,0.1408100553,1.30541342,
819891764,0.37118956680000004,2.343683447,
1061696800,0.4032680366,1.254400709,
855783147,0.43303848110000004,1.3427932470000001,
770249617,0.5286389739,1.1316817559999999,16.32949287852671
907564709,0.1879493555,0.481584904,14.133165829145732
689306781,0.3658731046,1.358211254,52.93993082515705
848672037,0.4661672416,0.6855940704,
941896404,0.5535008368,0.6037671963,
707795387,0.1443181664,0.4917604303,35.61203826548425
893647190,0.37454543059999995,1.3236417280000001,
793395012,0.5492930482,1.149703742,32.849113073947
894528079,0.455339736,0.8222511118,
819770858,0.32440663940000003,1.3902335639999999,
1037468224,0.45440395260000005,1.469907642,
701072075,0.8191350527,0.5770653601,16.924564796905223
886544038,0.5716875477,0.7711974268999999,
848629140,0.3938769198,0.6404859028,
681546151,0.3875947695,1.267977673,
732115399,0.6676185514999999,0.1396328476,68.48841231407818
766791643,0.5876098733,0.9588883039999999,32.82275711159737
819213795,0.6859715755,1.1092683360000002,
848636884,0.3843583753,0.47136991089999997,
700801541,0.9628797188999999,0.8307916776,57.67646251029936
855332601,0.16835680220000002,0.7999776816999999,
737159000,0.5061634093,0.39842642590000005,23.03705125743905
808920264,0.26602494919999997,1.374122326,
856015279,0.4317860316,0.6001482585,
914826774,0.42593036219999997,0.5595809722,
