neuron_id,dendrite_extent_x,axon_extent_x
252232.0,0.1574412619,0.18313354229999998
286641.0,0.1106124275,0.1390144732
286913.0,0.1995653416,0.2316372646
255208.0,0.1075200445,0.13772615740000002
255218.0,0.205232544,0.2642796757
255120.0,0.1534452408,0.24453248919999998
291125.0,0.25602383170000004,0.5540930136
291201.0,0.1537552319,0.24612186840000003
255137.0,0.1584877799,0.2208573108
291122.0,0.3045716114,0.3506572478
255129.0,0.2636818501,0.3324871725
291116.0,0.2088482736,0.5192923357
291204.0,0.311957359,0.22969280509999998
256514.0,0.21389555799999999,0.3636977715
256424.0,0.19811260390000002,0.4226346302
292832.0,0.1555981173,0.241467612
292624.0,0.15111779390000002,0.31673408360000005
292721.0,0.20090705,0.17917305390000002
292867.0,0.1001210656,0.30957174400000004
256543.0,0.1513209225,0.3273738659
292675.0,0.1529209201,0.14076717160000002
256622.0,0.217822825,0.4727465572
292864.0,0.2416701447,0.32377236820000005
292890.0,0.12519380730000002,0.26303379990000003
292649.0,0.28572348620000004,0.48116838050000005
292669.0,0.3116915198,0.5514841509
292670.0,0.5439520678,0.3374193763
292831.0,0.19007207040000001,0.1669659923
256426.0,0.14343870709999998,0.1889486277
256446.0,0.2229599019,0.406494532
258362.0,0.1711757625,0.30215893039999997
294704.0,0.1714300678,0.1943240189
258379.0,0.14971271260000002,0.24895722950000002
294561.0,0.1551003963,0.2941554293
258234.0,0.25083573340000004,0.502898292
258249.0,0.20700655340000002,0.26627745140000003
258365.0,0.19723157900000002,0.33632913960000005
258281.0,0.1211220127,0.1179795057
294649.0,0.26906803830000003,0.48279346450000005
294749.0,0.3079190772,0.5061941799
258293.0,0.15412057010000002,0.1405250916
258292.0,0.3203168769,0.5333201219
294825.0,0.28727703600000004,0.2702370085
294506.0,0.29819786620000005,0.7439926206
296530.0,0.45450721060000004,0.7323178065
260724.0,0.2360401702,0.18693978290000002
260620.0,0.2013089028,0.3630644449
296527.0,0.1744357467,0.2190488105
296758.0,0.2887667646,0.33994842970000005
260609.0,0.2628648033,0.33429081439999997
260707.0,0.29231939290000003,0.45507556
260622.0,0.2544872418,0.3392616033
260468.0,0.21654455,0.21133710490000002
296738.0,0.3385286428,0.4827938962
,0.2208717873,0.5236523949999999
260541.0,0.1918631519,0.2511348883
296398.0,0.2525742917,0.5490380602
260519.0,0.3490025604,0.4454697267
260803.0,0.2523408379,0.5180007495
260718.0,0.2053405498,0.1733080837
296735.0,0.2597352171,0.29756481780000005
298897.0,0.3438866478,0.5165262556
298957.0,0.26871835920000003,0.5103258718
298937.0,0.23776646750000002,0.2778393099
262909.0,0.1932223282,0.5088605304
262692.0,0.19032372609999998,0.1557192895
262957.0,0.1760173751,0.3053230947
298796.0,0.3306079742,0.39814077270000003
298930.0,0.2528560755,0.3872688516
298829.0,0.14453393420000002,0.43183701020000004
262779.0,0.1681463262,0.26305300620000005
262555.0,0.3139559617,0.3619581253
298961.0,0.27058792660000003,0.2858139534
298802.0,0.2809764817,0.439552765
298894.0,0.2005378605,0.2588728195
262805.0,0.20626498659999998,0.30775125020000005
161736.0,0.2353681895,0.29247199310000005
262642.0,0.19518179630000002,0.2121076693
262678.0,0.1985137998,0.36710624080000004
262898.0,0.28383587899999996,0.2960157551
301193.0,0.4156854078,0.6956584323
301227.0,0.17970235310000002,0.2997442088
