neuron_id,morph_status,ephys_status,normalized_soma_depth,layer,m_type,e_type,m_cluster,e_cluster,me_cluster,mol_id,pred_mol_id
20031203C,complete,available,0.150125383,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20031203D,complete,available,0.111837701,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20040212B,complete,available,0.144803632,L2/3,Large Basket,Irregular spiking,3,4,9,,SST+
20040212C,complete,available,0.127751722,L2/3,Martinotti,Fast spiking,2,10,1,,PV+
20040214B,complete,available,0.133067066,L2/3,Small Basket,Fast spiking,3,8,1,,PV+
20031130B,complete,available,0.318736449,L4,Small Basket,Fast spiking,6,8,3,,PV+
20031213A,complete,available,0.378415939,L4,Translaminar,Fast spiking,10,8,21,,PV+
20031214B,complete,available,0.279292628,L2/3,Translaminar,Fast spiking,10,10,21,,PV+
20040107A,complete,available,0.380206571,L4,Small Basket,Adapting,10,7,2,,VIP+
20040107B,complete,available,0.351709707,L4,Small Basket,Irregular spiking,6,2,22,,VIP+
20040112A,complete,available,0.368618825,L4,Small Basket,Irregular spiking,7,2,2,,PV+
20040113A,complete,available,0.400416017,L4,Small Basket,Fast spiking,9,12,2,,PV+
20040113B,complete,available,0.387080287,L4,Small Basket,Fast spiking,6,8,3,,PV+
20040113C,complete,available,0.450036135,L5,Small Basket,Fast spiking,9,8,3,,PV+
20040115A,complete,available,0.374906411,L4,Small Basket,Fast spiking,6,8,3,,PV+
20040116A,complete,available,0.379675191,L4,Small Basket,Fast spiking,6,8,3,,PV+
20040119A,complete,available,0.334847686,L4,Large Basket,Fast spiking,6,8,3,,PV+
20040202A,complete,available,0.33538604,L4,Translaminar,Fast spiking,10,8,21,,PV+
20040202C,complete,available,0.383228345,L4,Large Basket,Fast spiking,7,12,2,,PV+
20040203B,complete,available,0.378149668,L4,Large Basket,Fast spiking,10,8,21,,PV+
20040203C,complete,available,0.366612966,L4,Bitufted,Fast spiking,4,8,19,,VIP+
20040205B,complete,available,0.292261624,L4,Small Basket,Fast spiking,6,8,3,,PV+
20040205C,complete,available,0.36891624,L4,Small Basket,Fast spiking,18,8,3,,PV+
20040208A,complete,available,0.333896697,L4,Small Basket,Fast spiking,7,8,3,,PV+
20040209A,complete,available,0.357093217,L4,Translaminar,Fast spiking,10,8,21,,PV+
20040210B,complete,available,0.425321599,L4,Small Basket,Fast spiking,9,8,3,,PV+
20040504A,complete,available,0.415928665,L4,Small Basket,Fast spiking,6,12,4,,PV+
20040506A,complete,available,0.356378861,L4,Small Basket,Fast spiking,6,13,4,,PV+
20040506B,complete,available,0.375309946,L4,Small Basket,Fast spiking,6,13,4,,PV+
20040507A,complete,available,0.338507723,L4,Small Basket,Fast spiking,6,12,4,,VIP+
20040508A,complete,available,0.388263923,L4,Small Basket,Fast spiking,6,12,4,,PV+
20040510A,complete,available,0.350257591,L4,Large Basket,Fast spiking,10,12,2,,VIP+
20040511A,complete,available,0.333702674,L4,Small Basket,Fast spiking,10,12,2,,VIP+
20040512A,complete,available,0.414139441,L4,Small Basket,Fast spiking,6,12,4,,PV+
20040601A,complete,available,0.332910105,L4,Small Basket,Fast spiking,6,12,2,,VIP+
20040608A,complete,available,0.357578802,L4,Small Basket,Fast spiking,7,13,2,,PV+
20040622A,complete,available,0.387304464,L4,Small Basket,Fast spiking,6,12,4,,PV+
