neuron_id,normalized_soma_depth,layer,molecular_identity
1009830462,0.04538537891453362,L1,VIP
569871062,0.04769861787071584,L1,
868240930,0.08076996846073753,L1,LAMP5/PAX6/Other
759960718,0.08237568243687636,L1,SST
770559860,0.08302505743123643,L1,LAMP5/PAX6/Other
650077366,0.08570573571062906,L1,VIP
1002962250,0.08756872867505422,L1,SST
760944994,0.09255056352798265,L2,PVALB
966905488,0.0928929160099783,L2,SST
1079568285,0.0936496958308026,L2,SST
886547084,0.09458987792321041,L2,PVALB
685780246,0.09469685425466376,L2,VIP
941707648,0.09518936785553145,L2,SST
689319155,0.09553432435878524,L2,VIP
1025606094,0.09564176091193058,L2,PVALB
839239569,0.09635207552971799,L2,PVALB
907584932,0.09664434236312365,L2,VIP
758286002,0.0977218826264642,L2,VIP
685766680,0.09849599334707157,L2,VIP
1060169142,0.09942735822516269,L2,SST
685806972,0.09943064800477222,L2,VIP
941862585,0.10438824977223427,L2,SST
819891764,0.10507017591019521,L2,SST
1061696800,0.105553324564859,L2,SST
855783147,0.10855549863731019,L2,SST
770249617,0.1090028768143167,L2,VIP
907564709,0.11088938507114966,L2,LAMP5/PAX6/Other
689306781,0.11497656275444686,L2,SST
848672037,0.11553202634143167,L2,PVALB
941896404,0.11566855484425162,L2,PVALB
707795387,0.11889588932234274,L2,LAMP5/PAX6/Other
893647190,0.1225821399548807,L2,SST
793395012,0.12284358533405638,L2,VIP
894528079,0.12342477661041215,L2,SST
819770858,0.12493854253709327,L2,SST
1037468224,0.12538434716312363,L2,PVALB
701072075,0.12634049895748373,L2,PVALB
886544038,0.1271964350989154,L2,PVALB
848629140,0.1279446128924078,L2,SST
681546151,0.13013410781214751,L2,
732115399,0.13044810880824295,L2,VIP
766791643,0.13434738038655097,L2,SST
819213795,0.1357729473101952,L2,PVALB
848636884,0.139305477059436,L3,PVALB
700801541,0.13985568384338393,L3,VIP
855332601,0.1404345201683297,L3,LAMP5/PAX6/Other
737159000,0.1411706600273319,L3,VIP
808920264,0.1457786019804772,L3,
856015279,0.14602348572407808,L3,PVALB
914826774,0.14763909860954447,L3,PVALB
689331391,0.14905003876312364,L3,PVALB
893714311,0.15137143976225598,L3,SST
767084655,0.15270409642472885,L3,LAMP5/PAX6/Other
1037452707,0.1529449452429501,L3,SST
848565246,0.1542235839657267,L3,PVALB
1040865856,0.15449005485119305,L3,PVALB
1060105621,0.15473774498915402,L3,SST
767801031,0.15570536674880692,L3,PVALB
907585117,0.15920850908980475,L3,SST
819200626,0.15963576331019522,L3,PVALB
819209252,0.16458892223340563,L3,PVALB
732141043,0.16549509243036875,L3,VIP
720835661,0.16740260963340564,L3,PVALB
1067599469,0.1696831608056399,L3,PVALB
799031221,0.17598166663253795,L3,VIP
665718254,0.1767610046472885,L3,VIP
819194697,0.18393673081388284,L3,SST
819221461,0.18442612900867678,L3,PVALB
766789211,0.18540181147071583,L3,PVALB
855354446,0.18739907513796092,L3,
855760595,0.18797498971279825,L3,PVALB
737549021,0.1887384409154013,L3,VIP
1069256863,0.1905670489956616,L3,SST
1061720975,0.19087957516312362,L3,VIP
738006528,0.19162957252798263,L3,LAMP5/PAX6/Other
707837795,0.1931960583418655,L3,PVALB
960630346,0.19405498760303688,L3,VIP
851002859,0.19509173893622558,L3,LAMP5/PAX6/Other
911028006,0.1958469663058568,L3,VIP
886539074,0.19845826772841646,L3,LAMP5/PAX6/Other
855460302,0.19928410892581344,L3,PVALB
758308134,0.20622329980911064,L3,VIP
758308097,0.21082654048416485,L3,PVALB
941919377,0.2127412049691974,L3,PVALB
960790148,0.2158647182572668,L3,VIP
864072789,0.21815953004902386,L3,PVALB
967540207,0.22027252180650758,L3,PVALB
737549661,0.22031930772624728,L3,LAMP5/PAX6/Other
1041081551,0.22343400238308025,L3,VIP
932161443,0.2239598256416486,L3,VIP
1079573757,0.23161359804251627,L3,SST
732105067,0.23331850376225596,L3,PVALB
893503755,0.23816362899305857,L3,PVALB
848610436,0.24671717635444682,L3,VIP
1069242387,0.2477685629900217,L3,SST
894610619,0.24909638370542297,L3,SST
786447528,0.25065022991757047,L3,PVALB
695576844,0.25592137338351406,L3,PVALB
894360289,0.25940695565336225,L3,PVALB
737553506,0.259550381105423,L3,PVALB
737792547,0.26072435800433835,L3,PVALB
1058193059,0.2688894435739696,L3,PVALB
907597822,0.26905537088199566,L3,LAMP5/PAX6/Other
1072170652,0.2700224574464208,L3,SST
819206421,0.27021879952190886,L3,PVALB
720881002,0.27410419699175703,L3,PVALB
643397120,0.27450185985986986,L3,PVALB
1041074452,0.2768063442234273,L3,VIP
720841879,0.28001893799262473,L3,PVALB
732127116,0.2810580989518438,L3,VIP
695505884,0.28243686196702816,L3,PVALB
766984328,0.2847964961735358,L3,LAMP5/PAX6/Other
966910744,0.28597137321691973,L3,PVALB
855540802,0.2926091541609544,L3,VIP
770622754,0.30676219057180043,L3,PVALB
1037461069,0.34151494535791754,L3,SST
656933853,0.34327896761822124,L3,PVALB
695574463,0.3556353424989154,L3,PVALB
1065913190,0.35734122823427333,L3,PVALB
732058780,0.35879070293709325,L3,PVALB
811984547,0.37684960037310195,L3,PVALB
689360084,0.39462862566594353,L3,PVALB
1049237275,0.3967391035921909,L3,PVALB
685790763,0.41227126442516265,L3,PVALB
835674226,0.4211709037353579,L3,PVALB
720885760,0.4337032474186551,L3,PVALB
805772880,0.4384218387288503,L4,PVALB
685821059,0.44575299070281993,L4,PVALB
751208741,0.4457917231279826,L4,PVALB
1037948195,0.44902105478524945,L4,PVALB
758996755,0.44974189514533625,L4,SST
889787076,0.4549017198828633,L4,SST
868145983,0.48272850685032537,L4,SST
819185246,0.5073481431149675,L4,LAMP5/PAX6/Other
1077530486,0.5191656295357917,L5,PVALB
855488261,0.5193382497874186,L5,SST
797048104,0.5339668125639913,L5,SST
893412652,0.6372777882689804,L5,SST
914354833,0.6460988760130152,L5,PVALB
1067605482,0.8038025645292841,L6,PVALB
